X Y Z
431705.750943119 5304013.345600037 1052.4887411621096
431705.75008446985 5304013.365266335 1052.4887411621096
431705.7475150573 5304013.384782962 1052.4887411621096
431705.743254436 5304013.404001382 1052.4887411621096
431705.737335032 5304013.422775334 1052.4887411621096
431705.7298018954 5304013.440961934 1052.4887411621096
431705.720712358 5304013.458422773 1052.4887411621096
431705.7101355967 5304013.475024963 1052.4887411621096
431705.698152107 5304013.49064215 1052.4887411621096
431705.6848530904 5304013.5051554805 1052.4887411621096
431705.6703397607 5304013.518454497 1052.4887411621096
431705.6547225728 5304013.530437986 1052.4887411621096
431705.6381203831 5304013.541014748 1052.4887411621096
431705.62065954425 5304013.550104285 1052.4887411621096
431705.60247294384 5304013.557637421 1052.4887411621096
431705.58369899273 5304013.563556826 1052.4887411621096
431705.5644805722 5304013.567817447 1052.4887411621096
431705.5449639459 5304013.57038686 1052.4887411621096
431705.5252976472 5304013.571245508 1052.4887411621096
431705.5056313485 5304013.57038686 1052.4887411621096
431705.4861147223 5304013.567817447 1052.4887411621096
431705.4668963017 5304013.563556826 1052.4887411621096
431705.4481223506 5304013.557637421 1052.4887411621096
431705.4299357502 5304013.550104285 1052.4887411621096
431705.41247491137 5304013.541014748 1052.4887411621096
431705.3958727217 5304013.530437986 1052.4887411621096
431705.3802555338 5304013.518454497 1052.4887411621096
431705.365742204 5304013.5051554805 1052.4887411621096
