inv_index,x,y,predinstance,nn_dist_m,tile_name,note
140,416782.5155,5346657.053,2750,0.005408327218509443,tile_122.laz,ok
141,416782.7256,5346659.745,2750,0.006660330222489315,tile_122.laz,ok
142,416782.1656,5346660.039,2906,0.004512205682148945,tile_122.laz,ok
143,416779.3339,5346659.077,2749,0.004920366148290527,tile_122.laz,ok
144,416772.9171,5346657.674,2742,0.004940647485980157,tile_122.laz,ok
145,416776.3927,5346655.47,2594,0.0027000000118277967,tile_122.laz,ok
146,416775.4591,5346653.921,2594,0.001345362555139486,tile_122.laz,ok
147,416778.1687,5346652.394,2748,0.0042059487936030125,tile_122.laz,ok
148,416779.3103,5346652.092,2598,0.002022375167928007,tile_122.laz,ok
149,416782.0256,5346649.433,2596,0.008268010844656339,tile_122.laz,ok
150,416780.9837,5346648.228,2596,0.004205948325832408,tile_122.laz,ok
151,416779.7409,5346645.401,2597,0.001345361823954087,tile_119.laz,ok
152,416784.206735336,5346645.62234901,2597,0.004021924662186784,tile_119.laz,ok
153,416785.7833,5346643.289,-1,0.0034481879603363236,tile_119.laz,ok
154,416791.6514,5346649.403,2752,0.003310588651995559,tile_122.laz,ok
155,416790.2753,5346644.633,2756,0.008431488032571804,tile_119.laz,ok
156,416795.3392,5346645.244,2758,0.004079215348008114,tile_119.laz,ok
157,416796.4148,5346645.857,2758,0.005660388935748014,tile_119.laz,ok
158,416796.0898,5346642.586,2761,0.004004996604047002,tile_119.laz,ok
159,416793.734234786,5346636.05163235,-1,0.004538499846433505,tile_119.laz,ok
160,416790.669092717,5346637.39309873,2599,0.006960653692516532,tile_119.laz,ok
161,416789.5838,5346632.686,2602,0.005517246169041299,tile_119.laz,ok
162,416787.518825523,5346633.58074976,2454,0.001393390415044733,tile_119.laz,ok
163,416785.8297,5346630.835,2454,0.005008991803842612,tile_119.laz,ok
164,416787.249898332,5346627.01124267,2451,0.0012468222346711502,tile_119.laz,ok
165,416789.708661219,5346627.90766664,2455,0.00778265400048487,tile_119.laz,ok
166,416790.611709031,5346625.44620704,2456,0.0064380220022352145,tile_119.laz,ok
167,416787.457661716,5346624.84008166,2451,0.0023397095258590557,tile_119.laz,ok
168,416782.622717068,5346628.23131584,2453,0.007400846729203828,tile_119.laz,ok
169,416782.969960086,5346629.68724826,2453,0.00275203008865942,tile_119.laz,ok
170,416779.677016052,5346631.88032158,2449,0.0030012263033894217,tile_119.laz,ok
171,416778.9924,5346637.885,2448,0.005546169747743935,tile_119.laz,ok
172,416776.2137,5346638.524,2444,0.007049113464409473,tile_119.laz,ok
173,416777.2791,5346641.23,-1,0.0009000000427477062,tile_119.laz,ok
174,416774.5212,5346642.288,2447,0.0023323810384233033,tile_119.laz,ok
175,416774.914,5346643.605,2447,0.0064031241234015,tile_119.laz,ok
176,416772.3034,5346647.643,2593,0.004534313934999974,tile_122.laz,ok
177,416771.244879466,5346651.52614018,2588,0.006221526976686144,tile_122.laz,ok
178,416770.0531,5346644.187,2441,0.004313931286142163,tile_119.laz,ok
179,416770.428713739,5346637.05698166,2301,0.0070991585630069765,tile_119.laz,ok
180,416773.537334425,5346635.31787117,2299,0.0034113352336147006,tile_119.laz,ok
181,416775.2139,5346634.211,2299,0.004026164422452096,tile_119.laz,ok
