name,species,plot_id,dbh_cm,inv_height_m,pc_height_m,crown_area,n_points,ground_pct,z_p05,z_p50,z_p95,flag_ground,flag_dbh,flag_height,flag_crown,flag_height_mismatch
11_28,Beech,11.0,14.6,28.39876375,14.77,33.78,234569,0.007,1.9499999999999318,9.710000000000036,13.559999999999945,False,False,False,False,True
11_29,Spruce,11.0,52.2,32.50463065,32.54,50.77,730223,0.001,11.18999999999994,22.66999999999996,28.649999999999977,False,False,False,False,False
11_3,Oak,11.0,35.7,25.97987928,26.99,44.65,131131,0.004,5.280000000000086,18.600000000000023,25.38000000000011,False,False,False,False,False
11_30,Spruce,11.0,17.5,,21.18,33.12,270670,0.002,8.950000000000045,13.519999999999982,18.710000000000036,False,False,False,False,False
11_31,Beech,11.0,8.0,27.59951462,28.34,54.19,1153022,0.0,7.5200000000000955,15.25,23.6400000000001,False,False,False,False,False
11_32,Spruce,11.0,62.1,32.4525265,8.35,8.47,30126,0.048,0.5099999999999909,4.3700000000000045,7.579999999999927,False,False,False,False,True
11_33,Beech,11.0,7.6,,6.9,17.5,16218,0.005,1.6400000000001,4.680000000000064,6.170000000000073,False,False,False,False,False
11_34,Beech,11.0,14.0,27.21901361,12.96,9.49,14280,0.015,1.3000000000000682,8.5,12.210000000000036,False,False,False,False,True
11_35,Beech,11.0,18.1,,26.51,57.68,122191,0.004,6.6450000000000955,17.110000000000014,23.06000000000006,False,False,False,False,False
11_36,Larch,11.0,40.1,27.98942044,11.58,3.53,19355,0.056,0.4500000000000455,5.330000000000041,10.870000000000005,False,False,False,False,True
11_38,Beech,11.0,9.5,27.33022217,15.07,9.66,24236,0.008,1.8700000000000045,8.039999999999964,11.029999999999973,False,False,False,False,True
11_4,Beech,11.0,6.7,,21.09,77.19,291814,0.003,4.740000000000009,12.67999999999995,17.970000000000027,False,False,False,False,False
11_40,Beech,11.0,27.4,26.64933783,26.16,34.63,125832,0.005,5.680000000000064,18.529999999999973,23.56000000000006,False,False,False,False,False
11_41,Beech,11.0,12.4,28.28057762,25.16,18.66,50545,0.007,3.1399999999999864,14.089999999999918,18.5,False,False,False,False,False
11_42,Beech,11.0,41.1,28.95229323,17.7,13.33,30024,0.025,0.9600000000000364,10.210000000000036,16.66999999999996,False,False,False,False,True
11_43,Larch,11.0,41.4,29.3066577,29.53,71.02,283514,0.003,4.809999999999945,17.819999999999936,26.779999999999973,False,False,False,False,False
11_44,Beech,11.0,15.3,28.1164766,23.45,55.99,179919,0.001,7.759999999999991,15.3599999999999,20.68999999999994,False,False,False,False,False
11_45,Beech,11.0,7.0,26.75469122,22.69,11.15,22751,0.008,1.2100000000000364,4.090000000000032,8.1400000000001,False,False,False,False,False
11_46,Beech,11.0,10.5,25.66461276,25.86,41.14,77683,0.003,4.899999999999977,11.06000000000006,19.56000000000006,False,False,False,False,False
11_47,Beech,11.0,15.9,26.07357001,11.14,0.36,6734,0.048,0.5065000000000683,5.010000000000105,10.5,False,False,False,False,True
11_48,Beech,11.0,35.7,26.74270679,27.23,53.75,199804,0.005,7.519999999999982,20.0,25.170000000000073,False,False,False,False,False
11_49,Spruce,11.0,44.2,28.81129287,29.73,24.84,153390,0.006,4.110000000000014,23.24000000000001,27.309999999999945,False,False,False,False,False
11_5,Beech,11.0,9.5,,18.22,48.31,191720,0.006,2.659999999999968,11.879999999999995,15.729999999999905,False,False,False,False,False
11_50,Beech,11.0,27.4,27.89516592,27.4,31.06,139186,0.003,6.210000000000036,20.149999999999977,24.99000000000001,False,False,False,False,False
11_51,Beech,11.0,9.2,,21.99,39.72,95497,0.006,1.669999999999959,7.169999999999959,12.789999999999964,False,False,False,False,False
11_52,Spruce,11.0,31.2,27.66432138,27.56,26.7,338155,0.003,9.850000000000023,19.200000000000045,25.15000000000009,False,False,False,False,False
11_53,Beech,11.0,26.7,27.09177417,13.12,25.71,56053,0.011,2.1000000000000227,9.399999999999977,12.18999999999994,False,False,False,False,True
11_54,Beech,11.0,8.3,,2.19,0.6,1499,0.167,0.15999999999996817,1.2799999999999727,2.0399999999999636,False,False,False,False,False
11_55,Beech,11.0,12.7,27.67283927,15.32,49.09,258967,0.001,2.669999999999959,8.399999999999977,13.059999999999945,False,False,False,False,True
11_56,Beech,11.0,34.1,28.3565497,10.05,1.77,15978,0.022,1.1200000000000045,5.3799999999999955,9.519999999999982,False,False,False,False,True
11_57,Beech,11.0,7.0,,5.21,1325.43,863144,0.001,1.5399999999999636,2.75,3.7999999999999545,False,False,False,True,False
11_58,Beech,11.0,13.4,27.89904703,22.81,30.67,149474,0.01,1.3700000000000045,9.860000000000014,16.120000000000005,False,False,False,False,True
11_59,Beech,11.0,27.7,28.41434494,29.34,43.15,265508,0.004,8.56000000000006,20.340000000000032,26.41999999999996,False,False,False,False,False
11_6,Beech,11.0,15.3,26.91601216,17.83,48.76,182160,0.001,4.400000000000091,10.460000000000036,15.759999999999991,False,False,False,False,True
11_60,Beech,11.0,16.6,,28.94,30.63,142751,0.0,6.389999999999986,21.659999999999968,27.299999999999955,False,False,False,False,False
11_61,Beech,11.0,54.7,27.692377,28.33,70.68,420680,0.002,10.519999999999982,21.75999999999999,26.290000000000077,False,False,False,False,False
11_62,Beech,11.0,11.1,,16.37,26.15,86584,0.0,5.040000000000077,11.080000000000041,14.910000000000082,False,False,False,False,False
11_63,Spruce,11.0,18.5,26.9871528,28.14,103.25,701973,0.001,10.700000000000045,20.58000000000004,25.56000000000006,False,False,False,False,False
11_64,Beech,11.0,27.1,25.35501563,11.47,22.22,76166,0.002,3.5300000000000864,7.440000000000055,10.330000000000041,False,False,False,False,True
11_65,Beech,11.0,27.1,26.19603218,11.59,0.43,13980,0.043,0.5699999999999363,5.819999999999936,11.019999999999982,False,False,False,False,True
11_66,Beech,11.0,12.7,26.29739036,23.46,40.7,143058,0.002,7.289999999999964,16.50999999999999,21.930000000000064,False,False,False,False,False
11_67,Beech,11.0,8.6,27.88737374,13.28,11.05,30449,0.018,1.4400000000000546,7.530000000000086,12.57000000000005,False,False,False,False,True
11_68,Spruce,11.0,50.9,,33.44,28.7,508975,0.002,10.600000000000023,22.120000000000005,29.81000000000006,False,False,False,False,False
11_69,Beech,11.0,9.2,25.96713168,6.15,7.57,12589,0.013,1.3500000000000227,3.199999999999932,5.610000000000014,False,False,False,False,True
11_7,Beech,11.0,34.7,27.63080325,12.23,0.13,15943,0.038,0.6000000000000227,5.699999999999932,11.519999999999982,False,False,False,False,True
11_70,Beech,11.0,19.1,26.6302465,14.69,21.4,96834,0.006,2.3999999999999773,9.930000000000064,13.06000000000006,False,False,False,False,True
11_71,Beech,11.0,9.9,,1.15,0.01,253,0.364,0.11000000000001364,0.6499999999999773,1.0899999999999181,True,False,False,False,False
11_72,Beech,11.0,33.4,26.56211232,7.98,14.86,20965,0.022,0.9599999999999227,4.839999999999918,7.389999999999986,False,False,False,False,True
